Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Heel Type,Type,Heel Height,Fastening and Back Detail,Toe Shape,Pattern,Ornamentation,Ankle Height,Occasion,Sole Material,Warranty
ELLE,Gold-Toned Embellished Block Heels,₹1319,MRP ₹2399,(45% OFF),4.2,763 Ratings,"A pair of gold-toned sandals, has regular ankle and open back
Synthetic embellished upper with western - embellished
Cushioned footbed
Textured and patterned outsole, has block heels
Warranty: 15 days
Warranty provided by brand owner/manufacturer",Block,Sandals,3.5 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Casual,Resin,15 days
Shoetopia,Solid Block Heels,₹899,MRP ₹1999,(55% OFF),3.9,2.4k Ratings,"A pair of beige sandals ,has regular ankle and open back
Synthetic patent solid upper
Cushioned footbed
Textured and patterend outsole, has a block",Block,Sandals,3 inches,Open Back,Open Toe,Solid,,Regular,Casual,Resin,
AXIUM,Embellished Party Kitten Heels,₹1299,MRP ₹2799,(Rs. 1500 OFF),4.5,945 Ratings,"A pair of beige heels ,has regular ankle and open back
Synthetic leather embellished upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a kitten heels",Kitten,Sandals,2.5 inches,Open Back,Open Toe,Embellished,Western - Embellished,Regular,Party,PVC,
Mochi,Gold-Toned & Silver-Toned Striped Wedge Heels,₹1293,MRP ₹1990,(35% OFF),4.3,1.3k Ratings,"A pair of gold-toned and silver-toned sandals ,has regular ankle and open back
Synthetic striped upper with ethnic - embellished
Cushioned footbed
Textured and patterned outsole, has a wedge heel
Warranty: 1 month
Warranty provided by brand/manufacturer",Wedge,Sandals,4 inches,Open Back,Open Toe,Striped,Ethnic - Embellished,Regular,Ethnic,Resin,1 month
Mochi,Grey Printed Comfort Sandals,₹1194,MRP ₹1990,(40% OFF),4.4,1.3k Ratings,"A pair of grey sandals ,has regular ankle and open back
Synthetic printed upper with western - embellished
Cushioned footbed
Textured and patterend outsole, has a comfort
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort,Sandals,2 inches,Open Back,Round Toe,Printed,Western - Embellished,Regular,Casual,PU,1 month
Shoetopia,Block Heels With Ankle Loop,₹799,MRP ₹1999,(60% OFF),3.9,1.2k Ratings,"A pair of black heels,has regular ankle and ankle loop
Synthetic solid upper 
Cushioned footbed
Textured and patterend outsole, has a block",Block,Sandals,2 inches,Ankle Loop,Open Toe,Solid,,Regular,Casual,Resin,
Lavie,Open Toe Wedges,₹749,MRP ₹2499,(70% OFF),3.4,395 Ratings,"A pair of black open toe, has regular ankle and open back detail
Synthetic solid upper 
Cushioned footbed
Textured and patterend outsole, has a Wedge",Wedge,Sandals,1.5 inches,Open Back,Open Toe,Solid,,Regular,Casual,Synthetic,
Roadster,The Lifestyle Co Women Pointed Toe Block Heels,₹999,MRP ₹2499,(60% OFF),4.3,446 Ratings,"A pair of cream-coloured solid block heels, has back fastening details
Synthetic Patent upper
Cushioned footbed
Rubber outsole",Block,Mules,3 inches,Backstrap,Pointed Toe,Solid,,Regular,Casual,Rubber,
Anouk,Ethnic Embellished One-Toe Block Heels,₹699,MRP ₹1899,(Rs. 1200 OFF),3.9,1.3k Ratings,"A pair of beige heels,has regular ankle and open back
Synthetic embellished upper 
Cushioned footbed
Textured and patterend outsole, has a block",Block,Sandals,3 inches,Open Back,Open Toe,Embellished,Ethnic - Embellished,Regular,Ethnic,PVC,
Denill,Pointed Toe Block Heel Pumps,₹799,MRP ₹1999,(60% OFF),4,2k Ratings,"A pair of brown pointed toe block heel pumps,has regular ankle and closed back
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Block,Pumps,3 inches,Closed Back,Pointed Toe,Solid,,Regular,Casual,TPR,
DressBerry,Black Textured Wedge Heels,₹999,MRP ₹2499,(60% OFF),3.8,378 Ratings,"A pair of black textured wedge heels ,has regular ankle and open back
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Wedge,Sandals,3 inches,Open Back,Open Toe,Textured,,Regular,Casual,Resin,
Vishudh,Women Rose Gold Heels,₹461,MRP ₹1398,(67% OFF),4.1,4.5k Ratings,"A pair of rose gold-coloured open-toed heels, has regular styling
Synthetic embellished upper 
Cushioned footbed
Textured and patterned outsole",Block,Sandals,3 inches,Backstrap,Open Toe,Woven Design,Western - Embellished,Regular,Casual,Neolite,15 days
