Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Material,Fastening,Sole Material,Occasion,Warranty
El Paso,Men Comfort Sandals With Buckle,₹869,MRP ₹2999,(71% OFF),3.7,2.3k Ratings,"A pair of cream-coloured comfort sandals with buckle
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,3 months
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),4.1,978 Ratings,"A pair of brown comfort sandals
Synthetic leather upper 
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic Leather,Buckle,PU,Daily,
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),4.1,974 Ratings,"A pair of black comfort sandals
Synthetic upper 
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Slip-On,PU,Daily,
El Paso,Men Comfort Sandals With Buckle,₹869,MRP ₹2999,(71% OFF),3.7,2.3k Ratings,"A pair of blue comfort sandals with buckle
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,3 months
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),4.2,199 Ratings,"A pair of black comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Slip-On,PU,Daily,
El Paso,Men Comfort Sandals With Buckle,₹869,MRP ₹2999,(71% OFF),3.7,2.3k Ratings,"A pair of tan comfort sandals with buckle
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,3 months
AfroJack,Men Comfort Sandals,₹1199,MRP ₹5995,(80% OFF),4,45 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Slip-On,PU,Daily,1 month
Roadster,The Lifestyle Co. Men Comfort Sandals,₹766,MRP ₹3195,(76% OFF),4,287 Ratings,"A pair of round-toe brown solid comfort flats with regular styling and slip-on closure
PU upper material
Cushioned footbed
Patterned PVC outsole",Comfort Sandals,PU,Slip-On,PVC,Daily,
Mast & Harbour,Men Comfort Sandals,₹799,MRP ₹1999,(60% OFF),3.6,90 Ratings,"A pair of blue comfort sandals
Synthetic upper with buckle closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic,Buckle,EVA,Daily,
El Paso,Men Comfort Sandals,₹869,MRP ₹2999,(71% OFF),3.7,2.3k Ratings,"A pair of white comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic,Slip-On,Rubber,Daily,3 months
San Frissco,Men Comfort Sandals,₹1348,MRP ₹4495,(70% OFF),4.1,70 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,PU,Slip-On,PU,Daily,
AfroJack,Men Comfort Sandals,₹1199,MRP ₹5995,(80% OFF),3.7,42 Ratings,"A pair of brown comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Slip-On,PU,Daily,1 month
El Paso,Men Comfort Sandals,₹849,MRP ₹3995,(Rs. 3146 OFF),3.7,1.1k Ratings,"A pair of beige comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,Rubber,Daily,3 months
El Paso,Men Comfort Sandals With Buckle,₹839,MRP ₹2999,(72% OFF),4,430 Ratings,"A pair of beige comfort sandals with buckle
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,3 months
El Paso,Men Comfort Sandals,₹849,MRP ₹3995,(Rs. 3146 OFF),3.6,2.1k Ratings,"A pair of beige comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,Rubber,Daily,3 months
Metro,Men Comfort Sandals With Buckle,₹1345,MRP ₹2690,(50% OFF),4,173 Ratings,"A pair of tan comfort sandals
Synthetic upper with buckle closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic,Buckle,PU,Daily,1 month
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),3.9,77 Ratings,"A pair of black comfort sandals
Synthetic upper 
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic,Buckle,PU,Daily,
Roadster,The Lifestyle Co Men Green Sandals,₹1082,MRP ₹1899,(43% OFF),4.2,531 Ratings,"A pair of green comfort sandals
Synthetic upper with velcro closure
Cushioned footbed
Patterned tpr outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Comfort Sandals,Synthetic,Velcro,TPR,Daily,1 month
Mast & Harbour,Men Comfort Sandals,₹799,MRP ₹1999,(60% OFF),3.6,90 Ratings,"A pair of black comfort sandals
Synthetic upper with buckle closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic,Buckle,EVA,Daily,
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),4.1,969 Ratings,"A pair of olive green comfort sandals with buckle closure
Synthetic leather upper 
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic Leather,Buckle,PU,Daily,
San Frissco,Men Comfort Sandals,₹1348,MRP ₹4495,(70% OFF),4.6,22 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,PU,Slip-On,PU,Daily,
Roadster,The Lifestyle Co. Men Comfort Sandals,₹766,MRP ₹3195,(76% OFF),4,186 Ratings,"A pair of round-toe brown solid comfort flats with regular styling and slip-on closure
PU upper material
Cushioned footbed
Patterned PVC outsole",Comfort Sandals,PU,Slip-On,PVC,Daily,
CODE by Lifestyle,Men Comfort Sandals,₹1039,MRP ₹1299,(20% OFF),3.6,32 Ratings,"A pair of black comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned synthetic outsole",Comfort Sandals,Synthetic,Slip-On,Synthetic,Daily,
San Frissco,Men Comfort Sandals,₹1348,MRP ₹4495,(70% OFF),3.7,49 Ratings,"A pair of brown comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,PU,Slip-On,PU,Daily,
Sparx,Men Sports Sandals,₹899,MRP ₹999,(10% OFF),4.2,420 Ratings,"A pair of olive green and black Sports sandals
Synthetic Leather upper with velcro closure
Cushioned footbed
Patterned eva outsole",Sports Sandals,Synthetic,Velcro,Synthetic,Sports,
Roadster,Men Thong Sandals,₹998,MRP ₹2495,(60% OFF),4.3,6 Ratings,"Black solid Thong sandals, secured with a side buckle closure
Synthetic upper
Cushioned footbed
Textured and patterned PU outsole",Comfort Sandals,Synthetic,Buckle,PU,Casual,
San Frissco,Men Comfort Sandals,₹1303,MRP ₹4495,(71% OFF),3.7,52 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,PU,Slip-On,PU,Daily,
Roadster,The Lifestyle Co. Men Comfort Sandals,₹839,MRP ₹2799,(70% OFF),4.4,84 Ratings,"Brown solid comfort sandals, secured with a slip-on closure
Synthetic upper
Cushioned footbed
Rubber outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer",Comfort Sandals,Synthetic,Slip-On,Rubber,Daily,3 months
AfroJack,Men Comfort Sandals,₹1199,MRP ₹5995,(80% OFF),3.7,39 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Slip-On,PU,Daily,1 month
El Paso,Men Comfort Sandals,₹838,MRP ₹3995,(79% OFF),3.7,1.1k Ratings,"A pair of blue comfort sandals
Synthetic leather upper with buckle closure
Cushioned footbed
Patterned eva outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Buckle,EVA,Daily,3 months
Kosher,Men Comfort Sandals,₹985,MRP ₹3399,(71% OFF),4.2,13 Ratings,"A pair of black comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic Leather,Slip-On,EVA,Daily,
Anouk,Men Comfort Sandals,₹771,MRP ₹2660,(71% OFF),3.4,5 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned tpr outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,TPR,Daily,1 month
El Paso,Men Comfort Sandals,₹849,MRP ₹3995,(Rs. 3146 OFF),3.7,1.1k Ratings,"A pair of black comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,Rubber,Daily,3 months
El Paso,Men Comfort Sandals,₹869,MRP ₹2899,(70% OFF),4,8 Ratings,"A pair of blue comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,3 months
UNDERROUTE,Men Comfort Sandals,₹999,MRP ₹3999,(75% OFF),4.1,974 Ratings,"A pair of navy blue comfort sandals, with slip-on closure
Synthetic leather upper 
Cushioned footbed
Patterned pu outsole",Comfort Sandals,Synthetic Leather,Slip-On,PU,Daily,
AfroJack,Men Comfort Sandals,₹1199,MRP ₹5995,(80% OFF),4,41 Ratings,"A pair of brown comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Comfort Sandals,PU,Slip-On,PU,Daily,1 month
Rising Wolf,Men Comfort Sandals,₹839,MRP ₹2999,(72% OFF),3.9,26 Ratings,"A pair of brown comfort sandals
Synthetic leather upper with velcro closure
Cushioned footbed
Patterned rubber outsole",Comfort Sandals,Synthetic Leather,Velcro,Rubber,Ethnic,
Mast & Harbour,Men Comfort Sandals,₹794,MRP ₹1499,(47% OFF),3.5,95 Ratings,"A pair of tan comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole",Comfort Sandals,Synthetic,Slip-On,EVA,Daily,
ID,iD Men Tan Brown Flip Flop Slipper,₹950,MRP ₹2585,(Rs. 1635 OFF),3.9,80 Ratings,"A pair of tan comfort sandals
Synthetic leather upper with slip-on closure
Cushioned footbed
Patterned PVC outsole",Comfort Sandals,Synthetic Leather,Slip-On,PVC,Daily,
San Frissco,Men Comfort Sandals,₹1303,MRP ₹4495,(71% OFF),3.7,52 Ratings,"A pair of black comfort sandals
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Comfort Sandals,PU,Slip-On,PU,Daily,
FAUSTO,Men Textured Leather Fisherman Sandals,₹1109,MRP ₹2999,(63% OFF),3.9,13 Ratings,"A pair of black fisherman sandals
Leather upper with velcro closure
Cushioned footbed
Patterned rubber outsole",Fisherman Sandals,Leather,Velcro,Rubber,Daily,
Roadster,The Lifestyle Co. Men Comfort Sandals,₹839,MRP ₹2799,(70% OFF),4.4,84 Ratings,"Brown solid comfort sandals, secured with a slip-on closure
Synthetic upper
Cushioned footbed
Rubber outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer",Comfort Sandals,Synthetic,Slip-On,Rubber,Daily,3 months
