Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Material,Occasion,Pattern,Sole Material,Sustainable,Type,Warranty,BIS Certificate Image URL,BIS Certificate Number,BIS Expiry Date,Character,Contact Brand or Retailer for pre-sales product queries
max,Men Thong Flip-Flops,₹349,MRP ₹399,(Rs. 50 OFF),4.2,152 Ratings,"A pair of green and grey solid thong flip-flops
Plastic upper
Cushioned footbed
Patterned eva outsole",Plastic,Casual,Solid,EVA,Regular,Thong Flip-Flops,,,,,,
Red Tape,Men Thong Flip-Flops,₹838,MRP ₹2796,(70% OFF),3.9,56 Ratings,"A pair of tan Self Designthong flip-flops
Pu upper
Cushioned footbed
Patterned eva outsole
Warranty: 45 days
Warranty provided by brand owner/manufacturer",PU,Casual,Self Design,EVA,Regular,Thong Flip-Flops,45 days,,,,,
AfroJack,Men Leather Thong Flip-Flops,₹999,MRP ₹4995,(80% OFF),4.2,393 Ratings,"A pair of black and brown solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Solid,EVA,Regular,Thong Flip-Flops,1 month,,,,,
ONSOLE,Men Thong Flip-Flops,₹999,MRP ₹1999,(50% OFF),4,22 Ratings,"A pair of black solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Solid,EVA,Regular,Thong Flip-Flops,6 months,,,,,
ONSOLE,Men Cushioned Thong Flip-Flops,₹999,MRP ₹1999,(50% OFF),4.3,37 Ratings,"A pair of black solid Thong Flip-Flops
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Solid,EVA,Regular,Thong Flip-Flops,1 month,,,,,
Red Tape,Men Thong Flip-Flops,₹649,MRP ₹2166,(70% OFF),4.3,604 Ratings,"A pair of grey self design thong flip-flops
Pu upper
Cushioned footbed
Patterned eva outsole
Warranty: 45 days
Warranty provided by brand/manufacturer",PU,Casual,Self Design,EVA,Regular,Thong Flip-Flops,45 days,,,,,
ADIDAS,Men Thong Flip-Flops,₹999,MRP ₹1999,(50% OFF),4.6,9 Ratings,"A pair of black solid thong flip-flops
Synthetic upper
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Solid,Rubber,Regular,Thong Flip-Flops,3 months,https://assets.myntassets.com/assets/images/2024/8/14/a8f2c638-fe53-438b-9651-99c95e17a3d41723640704524-BIS-Declaration-Myntra-13082024--1---1-_page-0001.jpg,1234567,31/07/2026,,
Cantabil,Men Printed Thong Flip-Flops,₹499,MRP ₹999,(50% OFF),4.1,249 Ratings,"A pair of white and black printed thong flip-flops
Synthetic upper
Cushioned footbed
Patterned rubber outsole",Synthetic,Casual,Printed,Rubber,Regular,Thong Flip-Flops,,,,,,
max,Men Open Toe Flip-Flops,₹349,MRP ₹399,(Rs. 50 OFF),4,1.6k Ratings,"A pair of black comfort flip-flops
Pu upper with slip-on closure
Cushioned footbed
Patterned pu outsole",Synthetic,Casual,Solid,TPR,Regular,Slip-On,,,,,,
Roadster,The Lifestyle Co. Men Printed Flip Flops,₹749,MRP ₹1499,(Rs. 750 OFF),4.1,316 Ratings,"A pair of white, black and red printed slider flip flops
Synthetic upper 
Cushioned footbed
Patterned Synthetic outsole",Synthetic,Casual,Printed,Synthetic,Regular,Sliders,,,,,,
