Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Toe Shape,Pattern,Fastening,Shoe Width,Technology,Ankle Height,Insole,Sole Material,Micro Trend,Warranty,Occasion,Number of Items,Package Contains,Ornamentation
Liberty,Kids Velcro School Shoes,₹647,MRP ₹799,(19% OFF),4.3,1.3k Ratings,"A pair of round toe black school sneakers,has regular styling
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer
Technology:
Lightweight",Sneakers,Round Toe,Textured,Velcro,Regular,Lightweight,Regular,Padded,PVC,Basics,14 days,Everyday,2,,
Liberty,Kids Velcro School Shoes,₹647,MRP ₹799,(19% OFF),4.3,526 Ratings,"A pair of round toe white sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Sneakers,Round Toe,Solid,Velcro,Regular,Lightweight,Regular,Padded,PVC,Basics,14 days,Everyday,2,,
Liberty,Kids Lace-Up School Shoes,₹1052,MRP ₹1299,(19% OFF),4.3,79 Ratings,"A pair of round toe white sneakers, has regular styling
Lace -upsdetail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Solid,Lace-Ups,Regular,,Regular,Comfort Insole,PVC,Basics,,Everyday,2,,
Liberty,Kids Textured Lightweight Sneakers,₹721,MRP ₹849,(15% OFF),4.3,524 Ratings,"A pair of round toe white sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Sneakers,Round Toe,Solid,Velcro,Regular,Lightweight,Regular,Padded,PVC,Basics,14 days,Everyday,2,,
Liberty,Kids Velcro School Shoes,₹819,MRP ₹999,(18% OFF),4.3,1.3k Ratings,"A pair of round toe black sneakers, has regular styling
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Solid,Velcro,Regular,,Regular,Comfort Insole,PVC,Basics,,Everyday,2,,
Liberty,Kids Velcro School Shoes,₹1078,MRP ₹1299,(17% OFF),4.3,123 Ratings,"A pair of round toe white sneakers ,has regular styling,
Velcro detail
Leather upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Perforations,Velcro,Regular,,Regular,Comfort Insole,Rubber,Basics,,Everyday,2,,
Liberty,Kids Velcro School Shoes,₹1273,MRP ₹1399,(9% OFF),4.2,104 Ratings,"A pair of round toe white sneakers ,has regular styling,
Velcro detail
Leather upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Perforations,Velcro,Regular,,Regular,Comfort Insole,PVC,Basics,,Everyday,2,,
Liberty,Kids Textured Lightweight School Sneakers,₹1104,MRP ₹1299,(15% OFF),4.1,127 Ratings,"A pair of round toe black school sneakers,has regular styling,
Velcro detail
Pu upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer
Technology:
Lightweight",Sneakers,Round Toe,Textured,Velcro,Regular,Lightweight,Regular,Padded,EVA,Basics,14 days,Everyday,2,,
Liberty,Kids Velcro School Shoes,₹819,MRP ₹999,(18% OFF),4.3,518 Ratings,"A pair of round toe white sneakers, has regular styling
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Sneakers,Round Toe,Solid,Velcro,Regular,,Regular,Comfort Insole,PVC,Basics,,Everyday,2,,
Liberty,Unisex Round Toe Lightweight Sneakers,₹819,MRP ₹999,(18% OFF),4.3,1.3k Ratings,"A pair of round toe black solid sneakers ,has regular styling,
Velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Sneakers,Round Toe,Solid,Velcro,Regular,Lightweight,Regular,Padded,PVC,Basics,14 days,Everyday,2,footwear,
