Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Sport,Material,Fastening,Ankle Height,Outsole Type,Cleats,Arch Type,Cushioning,Warranty,Distance,Surface Type,Technology,Number of Items,Pronation for Running Shoes,Running Type,Package Contains
HRX by Hrithik Roshan,Women White Mesh Running Non-Marking Shoes,₹929,MRP ₹2999,(69% OFF),4.3,10.6k Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty is provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,Medium,30 days,Long,Indoor,Memory Foam,2,,,
Skechers,Women Pink Woven Design D'Lux Walker-Refreshing Mood Sneakers,₹4499,MRP ₹5999,(25% OFF),4.4,585 Ratings,"Special Technology:
Air-Cooled Memory Foam cushioned comfort insole
Features:
A pair of round toe pink sneakers ,has regular styling
Lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Midsole with contrast colored dual-density top layer
Sculpted midsole detail for natural walking flex
Flexible rubber traction outsole
Soft woven flat knit mesh fabric upper
Stretch Fit design with two-color woven in detail
Slip on athletic comfort walking sneaker design
Stitching accents
Warranty: 3 months
Warranty provided by Brand/Manufacturer
About D'Lux Walker-Refreshing Mood : Convenient sleek style and well cushioned comfort combine in the SKECHERS Relaxed FitA(r): D'Lux Walker - Refreshing Mood shoe. Soft stretchable flat knit mesh fabric upper in a slip on athletic comfort walking sneaker with stitching and overlay accents. Well cushioned Skech-Foam midsole, Air Cooled Memory Foam insole.",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,,Medium,3 months,,All-Rounder,Air,2,,,
Red Tape,Women Mesh ETPU Walking Shoes,₹2639,MRP ₹8799,(70% OFF),3.8,486 Ratings,"A pair of white ,blue & purple shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 45 days
Warranty provided by brand owner/manufacturer
FEATURES:-
ALL-DAY COMFORT: These shoes are expertly crafted to keep your feet cozy for hours at a time.
NON-SLIP SOLE: Crafted from high-grade ETPU+TPU+TPR materials, they give you maximum stability and reduce chances of accidental falls.
ENDURANCE: The top is made out of tough Mesh material, allowing them to last for years of everyday use.
SUPERIOR GRIP: Engineered to provide a solid foothold on any surface while looking fabulous.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,High,45 days,,Soft,,2,,,
Puma,Unisex Badminton Smash Sprint Indoor Shoes,₹2249,MRP ₹4999,(55% OFF),4.2,4.5k Ratings,"PRODUCT DESIGN DETAILS:
A pair of black solid with round toe sports shoes with regular styling has a lace up closure
Mesh upper
Cushioned footbed
Rubber outsole
An engineered jacquard mesh upper
Better durability
Heel type: Flat
Shoe width: Regular fit
Shoe pronation: Neutral
Heel-to-toe-drop: 0 mm
Low boot, Lace closure,
PUMA cat logo branding
Warranty: 3 months
Warranty provided by brand/manufacturer
PRODUCT STORY :

Ready for the smash? Experience the revolution of Variofoam, offering a lightweight cushion that propels you to leap and lunge with ease. The Variomesh upper envelopes your feet in unparalleled breathability and comfort, keeping you cool as the match heats up. Designed with a non-marking outsole for flawless movement and a stability frame that delivers exceptional lateral and medial support, these shoes are the ultimate ally in every intense rally.",Badminton,Mesh,Lace-Ups,Mid-Top,Non-Marking,No Cleats,,Medium,3 months,,Indoor,,2,Neutral,,
HRX by Hrithik Roshan,Women Black Mesh Running Sports Shoes,₹929,MRP ₹2999,(69% OFF),4.3,10.5k Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Use a branded leather conditioner to clean the product",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,Medium,30 days,Long,Indoor,,2,,Track,
Skechers,Women Mauve Mesh Walking Non-Marking Shoes,₹3999,MRP ₹4999,(20% OFF),4.5,30 Ratings,"A pair of mauve shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months",Walking,Mesh,Slip-On,Regular,Non-Marking,No Cleats,Medium,Medium,3 months,,Outdoor,,2,,,
Skechers,Women Go Run 400 Running Shoes,₹2249,MRP ₹4499,(50% OFF),4.5,963 Ratings,"Special Technology:
5GEN midsole material delivers comfort and response
Goga Run insole provides shock absorption and support
Features:
A pair of mauve running shoes, has regular Styling, lace-ups detail
Mesh Upper
Breathable sandwich mesh fabric and synthetic upper
Comfortable lightweight and well ventilated upper design
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by Brand/Manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Medium,Soft,,2,Neutral,Road Running,one
Red Tape,Women Mesh ETPU Walking Shoes,₹2549,MRP ₹8499,(70% OFF),3.7,396 Ratings,"A pair of white shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 45 days
Warranty provided by brand owner/manufacturer
FEATURES:-
ALL-DAY COMFORT: These shoes are expertly crafted to keep your feet cozy for hours at a time.
NON-SLIP SOLE: Crafted from high-grade ETPU+TPU+TPR materials, they give you maximum stability and reduce chances of accidental falls.
ENDURANCE: The top is made out of tough Mesh material, allowing them to last for years of everyday use.
SUPERIOR GRIP: Engineered to provide a solid foothold on any surface while looking fabulous.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,High,45 days,,Soft,,2,,,
HRX by Hrithik Roshan,Women Grey Colourblocked Running Shoes,₹929,MRP ₹2999,(69% OFF),4.3,10.5k Ratings,"A pair of off white colourblocked running shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,30 days,Long,Indoor,,2,,Track,
Campus,Women Black Mesh Running Shoes,₹1274,MRP ₹1699,(25% OFF),4.4,6k Ratings,"A pair of black running sports shoes, has regular styling, lace-up detail
Mesh upper
Cushioned footbed
Textured and patterned outsole

Campus's Alexa comes with a smooth, lightweight performance and a bold look. An updated Flyknit upper contours to your foot with a minimal, supportive design.
Underfoot, durable technology defies the odds by being both soft and responsive. It's also ultra-soft and incredibly springy. With every step, the foam responds to your foot by snapping back. The more energy you put into your step, the more you get in return. The lightweight upper gives you plenty of stretch and airflow while you run. It contours to your foot for support with every step. The all-new molding on the heel makes it an eye-catching shoe. It helps keep your foot stable, for an even more secure feel with every stride.

Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,High,30 days,Medium,Outdoor,,,Neutral,Road Running,
Red Tape,Women Drift + Mesh ETPU Walking Shoes,₹2309,MRP ₹7699,(70% OFF),4.2,1.2k Ratings,"A pair of black shoes, has regular styling, lace-ups detail
Upper mesh
Cushioned footbed
Textured and patterned outsole
Warranty: 45 days
Warranty provided by brand manufacturer",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,,High,45 days,,Soft,,2,,,1 pair
