Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Sport,Material,Fastening,Ankle Height,Outsole Type,Cleats,Pronation for Running Shoes,Arch Type,Cushioning,Running Type,Distance,Surface Type,Number of Items,Package Contains,Warranty,Technology
ASICS,Kids CONTEND 4B + VEL Running Shoes,₹2449,MRP ₹3499,(30% OFF),4.1,21 Ratings,"PRODUCT DESIGN DETAILS:
A pair of black textured running shoes, has regular styling with lace up closure
Synthetic upper
Rubber outsole
Textured and patterned outsole
About The Product:

Inspired by our GT running series, the CONTEND 4B + VEL shoe is a multi-functional style thats engineered for everyday use. Featuring a comfortable fit in the forefoot, this shoe is complemented with stitched down overlays to improve support in the upper. Mesh underlays help deliver better airflow to keep feet cool, while the stitched toe and solid rubber outsole increases durability to last longer.",Running,Synthetic,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Track,Medium,Outdoor,2,1 pair of shoes,,
DECATHLON By Decathlon,Boys Walking Shoes,₹1499,MRP ₹1699,(Rs. 200 OFF),4.2,16 Ratings,"A pair of blue & white walking shoes, has regular styling, velcro detail
Synthetic Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 2 years
Warranty provided by Brand/Manufacturer",Walking,Synthetic,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Medium,All-Rounder,1,1 sports shoes,2 years,
ASICS,Kids CONTEND 4B + VEL Running Shoes,₹2449,MRP ₹3499,(30% OFF),3.6,33 Ratings,"PRODUCT DESIGN DETAILS:
A pair of black textured running shoes, has regular styling with lace up closure
Synthetic upper
Rubber outsole
Textured and patterned outsole",Running,Synthetic,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Track,Medium,Outdoor,2,1 pair of shoes,,
DECATHLON By Decathlon,Boys Walking Shoes,₹999,MRP ₹1199,(Rs. 200 OFF),4.3,31 Ratings,"A pair of black walking shoes, has regular styling, velcro detail
Textile Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 2 years
Warranty provided by Brand/Manufacturer",Walking,Textile,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Medium,All-Rounder,1,1 sports shoes,2 years,
DECATHLON By Decathlon,Boys Running Non-Marking Shoes,₹1599,MRP ₹1699,(Rs. 100 OFF),4,21 Ratings,"A pair of blue shoes, has regular styling, velcro closure
Textile Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 2 years
Warranty provided by the brand owner/manufacturer",Running,Textile,Velcro,Regular,Non-Marking,No Cleats,,,Medium,Long Distance,,All-Rounder,2,1 sports shoes,2 years,
Liberty,Kids Running Shoes,₹1154,MRP ₹1499,(23% OFF),4.5,100 Ratings,"A pair of sea green shoes, has regular Styling, velcro detail
UP upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days",Running,PU,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,All-Rounder,2,footwear,14 days,
DECATHLON By Decathlon,Boys Running Non-Marking Shoes,₹1599,MRP ₹1699,(Rs. 100 OFF),4.1,34 Ratings,"A pair of orange shoes, has regular styling, velcro closure
Textile Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 2 years
Warranty provided by the brand owner/manufacturer",Running,Textile,Velcro,Regular,Non-Marking,No Cleats,,,Medium,Long Distance,,All-Rounder,2,1 sports shoes,2 years,
Liberty,Kids Textured Slip On Walking Shoes,₹1039,MRP ₹1999,(48% OFF),4.1,60 Ratings,"A pair of blue textured walking shoes, has regular styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Walking,Mesh,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,All-Rounder,2,,14 days,
BIRDE,Unisex LightWeight Walking Shoes,₹799,MRP ₹1999,(Rs. 1200 OFF),4.1,169 Ratings,"A pair of black walking shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,,Medium,Medium,,,All-Rounder,2,1 pair of shoes,,Advanced Chassis
BIRDE,Kids Mesh Walking Shoes,₹649,MRP ₹1499,(Rs. 850 OFF),4.2,100 Ratings,"A pair of olive green shoes, has regular styling, slip-on detail
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Slip-On,Regular,Marking,No Cleats,,,Low,,,All-Rounder,2,1 pair of shoes,,
Liberty,Kids Mesh Running Non-Marking Shoes,₹1000,MRP ₹1299,(23% OFF),4.6,114 Ratings,"A pair of pink running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,Long Distance,,All-Rounder,,,,
Liberty,Kids Mesh Running Non-Marking Shoes,₹1026,MRP ₹1299,(21% OFF),4.5,99 Ratings,"A pair of green running shoes, has regular Styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Velcro,Regular,Non-Marking,No Cleats,,Medium,Medium,Long Distance,,All-Rounder,,,,
Liberty,Kids Textured Running Shoes,₹1019,MRP ₹1999,(49% OFF),4.1,59 Ratings,"A pair of black, pink running shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,All-Rounder,2,,14 days,
Liberty,Kids Textured Running Shoes,₹1124,MRP ₹1499,(25% OFF),4.5,79 Ratings,"A pair of blue texture running shoes, has regular styling, velcro detail
PU Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Running,PU,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,All-Rounder,2,,14 days,
Power,Boys Navy Blue Walking Sports Shoes,₹2124,MRP ₹2499,(15% OFF),4.4,28 Ratings,"A pair of navy blue shoes, has regular Styling, lace-ups detail
PU Upper
Cushioned footbed
Textured and patterned outsole",Walking,PU,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,Flat,Medium,Track,Medium,Outdoor,2,,,
KazarMax,Kids Black Solid School Shoes,₹959,MRP ₹1999,(52% OFF),4.5,429 Ratings,"A pair of round-toe black solid School Shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Walking,Mesh,Velcro,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,30 days,
BIRDE,Unisex LightWeight Walking Shoes,₹799,MRP ₹1999,(Rs. 1200 OFF),4.1,171 Ratings,"A pair of purple walking shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,,Medium,Medium,,,All-Rounder,2,1 pair of shoes,,Advanced Chassis
KazarMax,Kids School Running Shoes,₹959,MRP ₹1999,(52% OFF),4.5,184 Ratings,"A pair of round toe black running shoes, has regular styling,
Velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,Medium,,,Court,2,,30 days,
Liberty,Kids Round Toe Running Shoes,₹1124,MRP ₹1499,(25% OFF),4.6,108 Ratings,"A pair of pink shoes, has regular Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Running,PU,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,All-Rounder,2,1 footwear,14 days,
KazarMax,Kids Blue & Pink Printed Walking Shoes,₹919,MRP ₹1999,(54% OFF),4.5,269 Ratings,"A pair of blue, pink, and purple printed walking sports shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 Month
Warranty provided by brand/manufacturer",Walking,Mesh,Velcro,Regular,Marking,No Cleats,,Medium,Medium,,,Court,,,30 days,
KazarMax,Girls Colourblocked Velcro Running Shoes,₹974,MRP ₹2499,(61% OFF),4.5,43 Ratings,"A pair of round toe blue,pink and white running shoes ,has regular styling
Velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Running,Mesh,Velcro,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,30 days,
